Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Notch signaling pathway	2/48	0.002839972184710252	0.8747114328907576	0	0	25.252525252525253	148.0798237619468	NCOR2;CTBP2
Apoptosis	2/143	0.023190901431623723	1.0	0	0	8.47637211273575	31.905024428089202	DFFA;BIRC7
Pathways in cancer	3/530	0.05614378781343175	1.0	0	0	3.4305317324185247	9.879379895286483	KITLG;CTBP2;BIRC7
Tyrosine metabolism	1/36	0.05776532490445594	1.0	0	0	16.835016835016834	48.00280468809293	PNMT
Fat digestion and absorption	1/41	0.06552783444124073	1.0	0	0	14.781966001478198	40.28500034451778	LIPF
Glycerolipid metabolism	1/61	0.09596238311650641	1.0	0	0	9.935419771485346	23.286626992956183	LIPF
PI3K-Akt signaling pathway	2/354	0.11534729230106973	1.0	0	0	3.42407122068139	7.395335621996506	KITLG;TNXB
Chronic myeloid leukemia	1/76	0.118155274306829	1.0	0	0	7.974481658692184	17.031544143355895	CTBP2
ECM-receptor interaction	1/82	0.1268837083134088	1.0	0	0	7.390983000739099	15.258568326596581	TNXB
mRNA surveillance pathway	1/91	0.139819477714127	1.0	0	0	6.660006660006661	13.102917970838037	PNN
Small cell lung cancer	1/93	0.1426687520182198	1.0	0	0	6.516780710329098	12.689669307430028	BIRC7
Hematopoietic cell lineage	1/97	0.14833987054087114	1.0	0	0	6.248047485160887	11.92283171129681	KITLG
Inflammatory mediator regulation of TRP channels	1/100	0.15256931999718407	1.0	0	0	6.0606060606060606	11.394765023369613	TRPV1
Melanogenesis	1/101	0.153974604997914	1.0	0	0	6.0006000600060005	11.226928249489267	KITLG
Olfactory transduction	2/444	0.16604388875239465	1.0	0	0	2.73000273000273	4.901728461632061	OR2T34;OR8G5
Toxoplasmosis	1/113	0.1706627589546523	1.0	0	0	5.363368195226602	9.48278809130039	BIRC7
Vascular smooth muscle contraction	1/132	0.1964348217017771	1.0	0	0	4.591368227731865	7.4721055962824945	MYH11
Ubiquitin mediated proteolysis	1/137	0.20308680529440165	1.0	0	0	4.423800044238	7.052075996694254	BIRC7
Phospholipase D signaling pathway	1/148	0.21753374923566768	1.0	0	0	4.095004095004096	6.2465244536905224	KITLG
Wnt signaling pathway	1/158	0.2304467143777548	1.0	0	0	3.8358266206367473	5.629979353035738	CTBP2
RNA transport	1/165	0.2393625834202604	1.0	0	0	3.6730945821854912	5.251701712476635	PNN
Tight junction	1/170	0.2456696490768931	1.0	0	0	3.5650623885918002	5.0045188430154575	MYH11
Transcriptional misregulation in cancer	1/186	0.26551333050304055	1.0	0	0	3.258390355164549	4.320919617170334	JMJD1C
Focal adhesion	1/199	0.2812627154402329	1.0	0	0	3.0455306837216387	3.8631524776345594	TNXB
Epstein-Barr virus infection	1/201	0.2836564458737979	1.0	0	0	3.015226895823911	3.799160171033294	NCOR2
Rap1 signaling pathway	1/206	0.28960699986816235	1.0	0	0	2.942041776993233	3.645867749182722	KITLG
Ras signaling pathway	1/232	0.3197854106061414	1.0	0	0	2.6123301985370952	2.9783309822138517	KITLG
MAPK signaling pathway	1/295	0.3878452600902541	1.0	0	0	2.054442732408834	1.945863036685718	KITLG
MicroRNAs in cancer	1/299	0.3919359804658728	1.0	0	0	2.026958548697679	1.8985644424184114	TNXB
Human papillomavirus infection	1/330	0.4227526894187015	1.0	0	0	1.8365472910927456	1.5812083186408923	TNXB
Neuroactive ligand-receptor interaction	1/338	0.43045619555184933	1.0	0	0	1.7930787161556392	1.5114034656343702	TRPV1
Herpes simplex virus 1 infection	1/492	0.560719378459645	1.0	0	0	1.2318305001231833	0.7126567076361169	ZNF180
